,M76STMFLOW,M76CHWTONS,M76TFRARealPower,M76TFRBRealPower,M76TFRCRealPower,M76TFRDRealPower,TMP F,TMP C
1/5/2019 2:00,5711.439453,145.1079254,124.0322876,414.9359131,184.5388947,293.9799194,5.6,42.08
1/5/2019 3:00,5874.434082,135.2822113,121.4014969,420.0496521,181.9192963,303.1726074,5.6,42.08
1/5/2019 4:00,5758.350586,147.9431763,118.6399384,420.1411743,181.6104889,248.3106079,4.4,39.92
1/5/2019 5:00,5889.896973,132.3363647,122.5787354,397.7096252,183.760498,250.8558044,4.4,39.92
1/5/2019 6:00,5929.388672,141.4468536,117.5035095,407.5849609,181.6490021,246.9449158,4.4,39.92
1/5/2019 7:00,5370.655762,137.1920471,124.5354767,413.8833618,183.730423,256.3192749,4.4,39.92
1/5/2019 8:00,5718.942383,120.9337387,127.9713287,420.6682129,184.0496674,262.1231995,4.4,39.92
1/5/2019 9:00,5214.352539,129.4327087,136.4033966,410.1428528,184.3223267,254.2293701,4.4,39.92
1/5/2019 10:00,5394.324707,123.6293716,135.4529419,421.3303223,190.8071747,257.456665,3.9,39.02
1/5/2019 11:00,6051.500488,130.205368,145.842514,458.170105,188.580719,262.7987671,4.4,39.92
1/5/2019 12:00,5690.084473,144.6098022,146.4225464,442.4429626,188.7792664,259.7620544,4.4,39.92
1/5/2019 13:00,5685.435059,127.2487411,152.6110535,463.7665405,191.6617432,272.3608704,5,41
1/5/2019 14:00,5851.285156,124.0396881,157.6231079,488.7870789,201.87677,274.3068848,5.6,42.08
1/5/2019 15:00,5773.083984,130.4008179,159.3483429,481.3406677,191.6136322,266.5888062,6.1,42.98
1/5/2019 16:00,5902.186035,133.7783356,154.4337006,472.698761,192.9453735,263.1749268,6.1,42.98
1/5/2019 17:00,6317.655273,129.6540375,157.8945313,468.9221191,195.3238678,265.4094543,6,42.8
1/5/2019 18:00,6050.355957,127.0743561,145.2697296,459.0074768,192.3645477,264.0871582,6,42.8
1/5/2019 19:00,6070.807129,131.7121887,135.9339752,452.7602844,184.8068848,258.2941589,5,41
1/5/2019 20:00,6110.90332,123.8383179,132.7189789,459.7078857,189.6833038,256.135376,5,41
1/5/2019 21:00,6147.105957,131.557724,129.0533905,441.0991211,192.1463928,253.2553711,4.4,39.92
1/5/2019 22:00,6043.631836,134.8938599,130.584549,429.899292,188.6950531,252.4223328,4.4,39.92
1/5/2019 23:00,6255.960938,122.3984833,127.7826385,422.7566833,187.8867645,247.7032623,4.4,39.92
1/6/2019 0:00,6547.484863,129.4027557,126.3973007,428.0626831,184.9992523,251.7540131,4.4,39.92
1/6/2019 1:00,5930.53125,136.120224,121.4706116,392.1051941,186.571579,254.6716156,3.9,39.02
1/6/2019 2:00,6449.017578,130.6850433,120.7241898,416.3057251,183.9061432,248.5037689,3.9,39.02
1/6/2019 3:00,6350.322754,152.725174,118.6193695,424.7603455,182.7666016,251.3328857,3.9,39.02
1/6/2019 4:00,6515.341797,135.5758514,117.14151,417.4616699,185.1969452,254.2178345,3.3,37.94
1/6/2019 5:00,6457.700684,144.3139343,120.4882355,406.833374,187.7322083,249.6408386,3.3,37.94
1/6/2019 6:00,6434.822266,126.2900009,119.9976959,417.9559326,184.3842468,248.3641815,3.3,37.94
1/6/2019 7:00,6161.224609,152.6509247,128.8678131,430.2670898,185.2232361,257.8008423,2.8,37.04
1/6/2019 8:00,6091.169434,134.2320251,139.0212097,429.1390076,184.559082,252.6162567,2.2,35.96
1/6/2019 9:00,6215.849121,135.001358,132.6182861,429.3321838,184.3279419,261.2416382,2.2,35.96
1/6/2019 10:00,6528.09082,136.9116058,133.3016357,434.255127,184.2287292,256.4089661,2.8,37.04
1/6/2019 11:00,6232.30957,131.9583588,139.2586823,445.6529846,188.5458832,258.9272461,3.3,37.94
1/6/2019 12:00,5653.761719,133.2914734,140.8303223,439.5322266,185.7307892,260.7528076,3.3,37.94
1/6/2019 13:00,4998.358887,136.2635345,152.6876678,462.6480713,192.5259094,262.7474365,3.3,37.94
1/6/2019 14:00,4486.436523,127.8191071,149.1168823,471.6162415,190.3413391,263.4380188,3.9,39.02
1/6/2019 15:00,5636.388672,137.7064667,148.2953033,450.2645569,187.8251801,263.7318115,4.4,39.92
1/6/2019 16:00,6243.462891,134.411377,154.8347931,463.4165039,190.1324615,260.2191162,5.6,42.08
1/6/2019 17:00,6877.161133,146.8284454,158.0707855,455.8372192,183.0788574,259.4905701,6.7,44.06
1/6/2019 18:00,7238.640137,132.5569305,152.3501434,466.2263794,191.9218903,260.1256104,7.2,44.96
1/6/2019 19:00,7125.083008,153.1581726,134.361557,442.8286133,187.8685303,251.8328094,8.3,46.94
1/6/2019 20:00,7779.047852,127.9712982,134.6416779,448.1225586,185.2138519,255.7545776,6.1,42.98
1/6/2019 21:00,7773.888672,144.8126373,142.3748322,454.1746826,190.249939,261.3965149,5.6,42.08
1/6/2019 22:00,7966.060547,139.4472809,122.7679138,439.563446,187.8000183,253.1541901,3.9,39.02
1/6/2019 23:00,9283.150391,141.6995087,125.0570831,447.3241577,185.1503143,249.7780914,2.2,35.96
1/7/2019 0:00,9092.59375,136.525589,121.2131195,422.1339417,185.7533417,297.2275696,1.1,33.98
1/7/2019 1:00,8769.723633,126.180542,115.2518005,426.4824829,186.6989594,293.5986633,0,32
1/7/2019 2:00,9323.110352,139.4686127,115.9835663,410.3380127,181.6056824,277.3513794,-1.1,30.02
1/7/2019 3:00,9584.856445,130.3220825,116.189003,415.9413147,180.075119,278.7963257,-1.7,28.94
1/7/2019 4:00,9547.500977,142.6208649,116.0189896,403.8791809,187.2283783,273.8501587,-2.8,26.96
1/7/2019 5:00,9961.039063,134.7168274,114.760643,412.6304932,183.5823517,279.4819336,-3.9,24.98
1/7/2019 6:00,10157.60742,127.5437088,124.5960846,428.0016174,183.9972687,247.69841,-4.4,24.08
1/7/2019 7:00,12024.68457,144.6425629,145.3997955,508.3833008,182.1701813,341.4751892,-4.4,24.08
1/7/2019 8:00,10744.20215,133.6027222,164.268631,506.1536865,186.7521362,338.9692078,-5,23
1/7/2019 9:00,11863.38574,164.7545166,176.6770935,509.4188538,217.2321625,342.6276855,-6.1,21.02
1/7/2019 10:00,10089.0293,133.42276,193.4537659,547.8463135,196.7246552,293.0273743,-6.1,21.02
1/7/2019 11:00,11131.0498,137.6819611,207.0951691,550.3182373,202.3518982,362.4128418,-6.7,19.94
1/7/2019 12:00,8391.885742,154.0509796,206.2601318,558.4144897,214.5146637,322.1877441,-7.2,19.04
1/7/2019 13:00,7951.005859,142.1892395,203.2426453,567.2806396,193.7888947,292.84198,-7.2,19.04
1/7/2019 14:00,7611.683105,160.3165131,212.0283661,548.7582397,196.9856262,346.1188965,-6.1,21.02
1/7/2019 15:00,7084.732422,143.1408997,201.5368347,552.7820435,202.3735962,318.8092651,-5,23
