,M9STMFLOW,M9CHWTONS,M9TFRARealPower,M9TFRBRealPower,TMP C,TMP F
1/6/2019 5:00,2346.155762,88.83975983,15.39543056,20.36835098,3.3,37.94
1/6/2019 6:00,2248.863525,90.87219238,13.93183517,20.7767849,3.3,37.94
1/6/2019 7:00,2295.616943,93.366745,14.72125435,20.3635273,2.8,37.04
1/6/2019 8:00,2486.509033,91.31388092,15.3494997,23.24764061,2.2,35.96
1/6/2019 9:00,2422.70166,90.40629578,15.67292786,23.75679588,2.2,35.96
1/6/2019 10:00,2039.311646,87.60480499,16.31926346,22.94327927,2.8,37.04
1/6/2019 11:00,2046.917114,84.33475494,17.49305725,22.52467728,3.3,37.94
1/6/2019 12:00,1855.671997,79.34605408,15.26405048,22.89824677,3.3,37.94
1/6/2019 13:00,1532.138794,73.52429199,16.20026398,23.72595215,3.3,37.94
1/6/2019 14:00,1646.360962,70.36642456,17.22109604,24.35759163,3.9,39.02
1/6/2019 15:00,1940.26062,70.49848938,16.46771049,22.59962273,4.4,39.92
1/6/2019 16:00,1978.164551,73.92371368,16.82808876,24.62966537,5.6,42.08
1/6/2019 17:00,2283.783936,81.52902222,16.35858345,24.03790665,6.7,44.06
1/6/2019 18:00,2557.032959,89.72661591,16.07775116,23.17330933,7.2,44.96
1/6/2019 19:00,2782.322021,94.70010376,16.80337715,23.99902344,8.3,46.94
1/6/2019 20:00,3178.708984,98.12728119,16.19881248,22.77073479,6.1,42.98
1/6/2019 21:00,3099.413818,100.2947083,15.77500153,23.5729332,5.6,42.08
1/6/2019 22:00,3165.448486,101.6228256,15.78125763,22.17542458,3.9,39.02
1/6/2019 23:00,3383.782471,99.5170517,15.66113853,22.6705761,2.2,35.96
1/7/2019 0:00,3517.474121,96.77162933,15.65771484,20.27350235,1.1,33.98
1/7/2019 1:00,3698.426758,87.91575623,15.8408699,21.18234062,0,32
1/7/2019 2:00,3853.749023,84.53518677,15.34997272,19.47546577,-1.1,30.02
1/7/2019 3:00,3540.672607,80.56504822,14.73346233,20.17963791,-1.7,28.94
1/7/2019 4:00,3879.268066,75.81884003,16.03968811,19.6352253,-2.8,26.96
1/7/2019 5:00,4077.821289,74.99382782,16.08473778,21.28924942,-3.9,24.98
1/7/2019 6:00,4298.208984,75.25292969,15.79289436,21.82593918,-4.4,24.08
1/7/2019 7:00,4238.181641,82.17612457,16.44909286,23.54752731,-4.4,24.08
1/7/2019 8:00,4744.723145,73.79949188,16.54581261,26.16960907,-5,23
1/7/2019 9:00,4697.242188,81.22903442,18.47882462,30.1415844,-6.1,21.02
1/7/2019 10:00,4121.168945,82.85932159,20.40254211,32.19345474,-6.1,21.02
1/7/2019 11:00,3907.637695,83.65000153,21.78110313,32.49648666,-6.7,19.94
