,date,energy_type,1,10,11,12,13,14,16,17,18,2,24,26,3,31,32,32P,33,34,35,36,37,38,39,4,41,42_43_N16_E40,44,46,48,5,50,51,54,56,57,62_64,66,68,6C,6_6B,76,7_7A,8,9,Briggs Field Operating,DKE,E1,E14,E15,E17,E18,E19,E2,E23,E25,E28,E33,E34,E38,E40,E51,E52,E53,E55,E60,E62,E62P,E94,KS,Main Campus Area,N10,N4,N42,N51,N52,N57,N9,NE45,NE46,NE47,NE48,NE49,NW10,NW12_NW12A,NW13,NW14,NW15,NW16,NW17,NW21,NW22,NW23,NW30,NW32,NW35,NW36,NW61,NW62,NW86,Northwest Campus Area,OC19_ABCDEFGHJKLMNQ,OC22,OC23,PBE,Parking Areas,TXI,Utilities To Fraternities,W1,W11,W13,W15,W16,W20,W2_W4,W31,W32,W33,W34,W35,W41,W45,W5,W51,W51C,W53_W53A_W53B_W53C_W53D,W56,W59,W61,W64,W7,W70,W71,W79,W8,W84,W85_W85ABC_W85DE_W85FG_W85HJK,W89,W91,W92,W97,W98,WW15
20,2010-05-01,Fuel Oil #6,,,,,,,,,,,,,,,,,,,,,,,,,,4458.17232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2010-05-01,Gas,,,,,0.1027,,1.8486,,2.054,,,,,94.3813,81.6465,,,,,0.001027,0.7189,,0.1027,116.5645,0.001027,196664.338,0.001027,0.6162,,,20.3346,,2.054,2.2594,11.7078,31.2208,2.054,4.9296,,11.7078,,0.001027,11.7078,,,,2.9783,,,,6.3674,,6.7782,2.3621,2.3621,,59.9768,20.1292,4.108,7.4971,9.5511,62.0308,0.2054,,,,,,,,97.1542,,37.1774,,9.243,92.5327,16.6374,,,,,,421.07,120.8779,,16.740099999999998,,299.4732,144.6016,676.1768,350.5151,,7.189,,27.4209,,282.3223,143.0611,1108.2357,,1664.789,,,,,,,,84.4194,,,0.001027,47.8582,,0.001027,,,31.5289,,,,33.7883,18.1779,,236.0046,,153.1257,,,,11.7078,46.6258,,316.6241,16.0212,25.5723,53.0959,445.6153,44.2637,,44.8799,155.3851
22,2010-05-01,Steam,1562.0,1969.0,363.0,752.4,3344.0,2093.3,2117.5,105.6,1731.4,1621.4,387.2,1083.5,2189.0,867.9,2016.3,,552.2,327.8,441.1,1248.5,1377.2,902.0,1851.3,2206.6,353.1,-88630.29999999999,222.2,7580.1,586.3,1108.8,1006.5,,1128.6,3052.5,535.7,1005.4,1565.3,3355.0,,1808.4,,1603.8,889.9,1034.0,,,255.2,1459.7,308.0,2050.4,1538.9,1026.3,277.2,224.4,1648.9,,,145.2,74.8,105.6,231.0,1146.2,600.6,739.2,468.6,,,,,,,,,,,,,,,,,,,,1344.2,2383.7,267.3,,,,,,451.0,,874.5,,,,,,,,,,,,,,,353.1,69.3,218.9,1732.5,595.1,431.2,616.0,445.5,812.9,1897.5,,,126.5,720.5,,,,,734.8,,570.9,553.3,565.4,774.4,,653.4,1192.4,,,,,,
23,2010-06-01,Chilled Water,403.308,713.556,248.04,473.904,2572.884,1011.096,1820.076,,2736.756,979.32,439.836,768.624,941.976,744.108,3017.412,,417.312,71.58,307.488,1732.788,753.216,1239.684,3397.38,673.944,310.044,-69422.796,,7060.74,620.088,520.26,,,992.04,2730.12,,,1879.224,3175.44,,1679.796,,275.556,378.216,107.844,,,77.28,2112.144,1248.612,956.928,3260.784,956.904,97.08,912.672,912.672,,,310.044,164.376,490.944,556.596,950.868,522.552,,,,,,,,,,,,,,,,,,,,,620.088,744.108,1798.248,186.036,,,780.36,,,257.724,,668.52,,,,,,,,,,,,,,,,30.084,476.772,1957.416,,,,,293.208,2462.292,,,,,,,,,,,,,,330.804,,,,,,,,,
24,2010-06-01,Electricity,553.069824,697.204227,128.922662,258.282188,1990.748292,394.597408,1040.842132,25.710129,2072.131277,568.353238,596.5924,333.159995,778.727145,45.898024,2720.161,341.3,488.519755,164.707967,167.503214,1364.575421,686.040304,475.113491,1197.14388,787.761356,256.391386,-613.0263079999966,45.7342,3900.287662,424.375833,392.63152,102.09306900000001,43.41336,466.400102,1377.445844,183.817354,313.85948,1238.188618,3206.940125,,685.084664,,548.619272,320.016532,330.460312,,,24.723772,1020.394849,686.3543,1126.382151,1267.17864,1126.382151,188.817399,684.651213,1597.52291,5.360252,2.197972,230.17272,141.70776,505.707623,343.037217,397.686173,290.7876,349.25229,48.150604,,,,,4.36736,29.89788,18.377532,219.569024,215.16072,215.16072,40.05688,22.194739,,,207.37388,49.218873,372.317344,235.428,394.2907199999991,,943.34976,,235.29152,367.595232,1282.34902,318.40784,,203.90112,,502.812792,,76.15584,41.21696,879.78423412,1.26244,1856.351178,3.375457,2.085343,,12.774528,,,,82.97984,82.120193,13.873845,161.796678,1219.481965,269.896627,129.263962,350.542404,169.202888,224.459358,336.689037,,116.32144100000001,20.208373,219.790374,,25.307395,,90.240576,368.19444,,320.470461,294.070906,212.9712,581.810697,51.195,293.204004,492.499313,65.5104,1415.435947,782.248768,,387.15626212,44.76544
25,2010-06-01,Fuel Oil #2,,,,,,,,,,,,,,,,,,,,,,,,,,2537.9999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2010-06-01,Fuel Oil #6,,,,,,,,,,,,,,,,,,,,,,,,,,2631.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2010-06-01,Gas,,,,,-1.1297,,-0.1027,,-0.3081,,,,,17.7671,69.2198,,,,,-0.2054,0.5135,,-0.5135,99.0028,0.001027,180727.764854,0.001027,0.8216,,,17.0482,,-0.3081,-0.3081,9.8592,38.6152,-0.3081,,,9.8592,,0.001027,9.8592,,,,2.054,,,,-4.2107,,6.5728,1.4378,1.4378,,37.1774,0.001027,5.135,5.5458,7.3944,63.3659,0.1027,,,,,,,,78.8736,,66.5496,,2498.0748,34.1991,5.4431,,,,,,-562.4879,63.8794,,11.0916,,134.537,79.4898,8.7295,59.8741,,6.0593,,25.7777,,138.4396,61.7227,470.5714,,-121.746,,,,,,,,73.3278,,,0.3081,43.0313,,0.001027,,,47.6528,,,,15.1996,16.6374,,-131.456,,81.0303,,,,11.0916,40.9773,,188.0437,25.8804,20.9508,17.459,358.3203,18.0752,,31.7343,51.6581
28,2010-06-01,Steam,1224.3,1543.3,283.8,589.6,1949.2,1641.2,1516.9,62.7,1424.5,1271.6,256.3,647.9,1716.0,679.8,1582.9,,331.1,256.3,342.1,662.2,1111.0,463.1,1697.3,1729.2,276.1,-70788.29999999999,173.8,6774.9,496.1,869.0,788.7,,773.3,2690.6,420.2,207.9,1263.9,2984.3,,1524.6,,1257.3,697.4,809.6,,,200.2,1491.6,301.4,1692.9,1323.3,882.2,187.0,88.0,1328.8,,,30.8,27.5,73.7,160.6,734.8,253.0,499.4,367.4,,,,,,,,,,,,,,,,,,,,1421.2,2520.1,282.7,,,,,,161.7,,476.3,,,,,,,,,,,,,,,73.7,69.3,157.3,1354.1,401.5,431.2,616.0,445.5,617.1,1439.9,,,26.4,486.2,,,,,496.1,,385.0,1680.8,381.7,435.6,,441.1,541.2,,,,,,
29,2010-07-01,Chilled Water,408.396,859.344,237.576,584.652,3404.664,1420.284,3238.08,,4571.28,1208.028,473.988,997.656,1335.228,712.728,4531.776,,315.0,100.896,412.668,2438.844,1264.38,1292.664,4269.18,768.48,296.976,-98838.072,,14590.944,593.952,638.664,,,1193.616,4857.132,,,3041.652,5491.332,,2603.664,,347.784,487.536,173.736,,,70.476,2705.868,1422.12,1223.868,4898.987999999999,1223.832,149.64,912.672,912.672,,,296.976,188.484,689.568,553.488,1186.836,818.46,,,,,,,,,,,,,,,,,,,,,593.952,712.728,1722.432,178.176,,,1170.924,,,359.58,,988.656,,,,,,,,,,,,,,,,27.024,494.964,2185.74,,,,,512.676,2887.644,,,,,,,,,,,,,,493.824,,,,,,,,,
