BUILDING_NUMBER,BUILDING_NAME_LONG,BUILDING_GROUP_LEVEL1,CLUSTER_NUM,BUILDING_TYPE,BUILDING_USE,SITE,CAMPUS_SECTOR,YEAR_CONST_BEGAN,YEAR_OCCUPIED,LATITUDE_WGS,LONGITUDE_WGS,OWNERSHIP_TYPE,BUILDING_HEIGHT,NUM_OF_ROOMS,EXT_GROSS_AREA,ASSIGNABLE_AREA,NON_ASSIGNABLE_AREA,BLDG_SRV,CIRCULAT,CLASSRMS,GENERAL,HEALTH,LABS,MECHANIC,OFFICES,RESIDENT,SPECIAL,STUDY,SUPPORT,UNCLASS,USEABLE_AREA,STRUCT_AREA,LEVEL3_CATEGORY,LEVEL2_CATEGORY,NUMBER_OF_UNITS,UNIT_OF_MEASURE,START_DATE,END_DATE,START_DATE_USE
26,Karl Taylor Compton Laboratories,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1955,1957,42.36085795,-71.09115294,OWNED,78.7,387,133479.58,80363.1,42700.18,2919.16,24971.12,17120.44,0,0,27643.78,14809.9,35219.3,0,0,0,379.58,0,123063.28,10416.3,Water,Purchased,450,CCF,2/1/2020,2/29/2020,11/1/2019
31,Sloan Laboratories For Aircraft & Automotive Engineering,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1928,1928,42.36037362,-71.09306201,OWNED,46.2,334,76205.74,52864.96,15926.53,1099.15,5288.7,1958.52,181.44,0,31746.86,9538.68,18502.69,0,0,0,211.87,263.58,68791.49,7414.25,Water,Purchased,289,CCF,5/1/2019,5/31/2019,2/1/2019
31,Sloan Laboratories For Aircraft & Automotive Engineering,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1928,1928,42.36037362,-71.09306201,OWNED,46.2,334,76205.74,52864.96,15926.53,1099.15,5288.7,1958.52,181.44,0,31746.86,9538.68,18502.69,0,0,0,211.87,263.58,68791.49,7414.25,Water,Purchased,511,CCF,8/1/2019,8/31/2019,5/1/2019
31,Sloan Laboratories For Aircraft & Automotive Engineering,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1928,1928,42.36037362,-71.09306201,OWNED,46.2,334,76205.74,52864.96,15926.53,1099.15,5288.7,1958.52,181.44,0,31746.86,9538.68,18502.69,0,0,0,211.87,263.58,68791.49,7414.25,Water,Purchased,394,CCF,11/1/2019,11/30/2019,8/1/2019
31,Sloan Laboratories For Aircraft & Automotive Engineering,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1928,1928,42.36037362,-71.09306201,OWNED,46.2,334,76205.74,52864.96,15926.53,1099.15,5288.7,1958.52,181.44,0,31746.86,9538.68,18502.69,0,0,0,211.87,263.58,68791.49,7414.25,Water,Purchased,257,CCF,2/1/2020,2/29/2020,11/1/2019
32,Ray and Maria Stata Center,Non-CUP,Office & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,2004,2004,42.36159672,-71.09056854,OWNED,140,1318,463889.51,287089.52,122094.96,7446.09,74060.32,17384.54,39586.05,0,34953.35,40588.55,155430.44,0,0,3720.96,36014.18,0,409184.48,54705.03,Water,Purchased,4487,CCF,5/1/2019,5/31/2019,2/1/2019
32,Ray and Maria Stata Center,Non-CUP,Office & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,2004,2004,42.36159672,-71.09056854,OWNED,140,1318,463889.51,287089.52,122094.96,7446.09,74060.32,17384.54,39586.05,0,34953.35,40588.55,155430.44,0,0,3720.96,36014.18,0,409184.48,54705.03,Water,Purchased,5904,CCF,8/1/2019,8/31/2019,5/1/2019
32,Ray and Maria Stata Center,Non-CUP,Office & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,2004,2004,42.36159672,-71.09056854,OWNED,140,1318,463889.51,287089.52,122094.96,7446.09,74060.32,17384.54,39586.05,0,34953.35,40588.55,155430.44,0,0,3720.96,36014.18,0,409184.48,54705.03,Water,Purchased,5738,CCF,11/1/2019,11/30/2019,8/1/2019
32,Ray and Maria Stata Center,Non-CUP,Office & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,2004,2004,42.36159672,-71.09056854,OWNED,140,1318,463889.51,287089.52,122094.96,7446.09,74060.32,17384.54,39586.05,0,34953.35,40588.55,155430.44,0,0,3720.96,36014.18,0,409184.48,54705.03,Water,Purchased,4942,CCF,2/1/2020,2/29/2020,11/1/2019
33,Daniel Guggenheim Aeronautical Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1927,1928,42.36017838,-71.09374587,OWNED,56.5,170,55161.51,36554.99,12586.19,692.91,9800.24,2845.47,168.64,0,14240.5,2093.04,19300.38,0,0,0,0,0,49141.18,6020.33,Water,Purchased,229,CCF,5/1/2019,5/31/2019,2/1/2019
33,Daniel Guggenheim Aeronautical Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1927,1928,42.36017838,-71.09374587,OWNED,56.5,170,55161.51,36554.99,12586.19,692.91,9800.24,2845.47,168.64,0,14240.5,2093.04,19300.38,0,0,0,0,0,49141.18,6020.33,Water,Purchased,100,CCF,8/1/2019,8/31/2019,5/1/2019
33,Daniel Guggenheim Aeronautical Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1927,1928,42.36017838,-71.09374587,OWNED,56.5,170,55161.51,36554.99,12586.19,692.91,9800.24,2845.47,168.64,0,14240.5,2093.04,19300.38,0,0,0,0,0,49141.18,6020.33,Water,Purchased,-51,CCF,11/1/2019,11/30/2019,8/1/2019
33,Daniel Guggenheim Aeronautical Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1927,1928,42.36017838,-71.09374587,OWNED,56.5,170,55161.51,36554.99,12586.19,692.91,9800.24,2845.47,168.64,0,14240.5,2093.04,19300.38,0,0,0,0,0,49141.18,6020.33,Water,Purchased,54,CCF,2/1/2020,2/29/2020,11/1/2019
35,Sloan Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1950,1952,42.36038118,-71.09402814,OWNED,80.3,239,68012.32,41693.34,18920.47,1686.19,13112.98,2889.95,0,0,18775.16,4121.3,19278.57,0,0,0,0,749.66,60613.81,7398.51,Water,Purchased,220,CCF,5/1/2019,5/31/2019,2/1/2019
36,Fairchild Buildings (36),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1971,1973,42.36143722,-71.09166758,OWNED,117.4,608,144887.28,72002.42,57419.09,5039.96,29615.1,5710.82,34.35,0,27545.79,22764.03,38594.21,0,0,0,117.25,0,129421.51,15465.77,Water,Purchased,549,CCF,5/1/2019,5/31/2019,2/1/2019
36,Fairchild Buildings (36),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1971,1973,42.36143722,-71.09166758,OWNED,117.4,608,144887.28,72002.42,57419.09,5039.96,29615.1,5710.82,34.35,0,27545.79,22764.03,38594.21,0,0,0,117.25,0,129421.51,15465.77,Water,Purchased,972,CCF,8/1/2019,8/31/2019,5/1/2019
36,Fairchild Buildings (36),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1971,1973,42.36143722,-71.09166758,OWNED,117.4,608,144887.28,72002.42,57419.09,5039.96,29615.1,5710.82,34.35,0,27545.79,22764.03,38594.21,0,0,0,117.25,0,129421.51,15465.77,Water,Purchased,749,CCF,11/1/2019,11/30/2019,8/1/2019
36,Fairchild Buildings (36),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1971,1973,42.36143722,-71.09166758,OWNED,117.4,608,144887.28,72002.42,57419.09,5039.96,29615.1,5710.82,34.35,0,27545.79,22764.03,38594.21,0,0,0,117.25,0,129421.51,15465.77,Water,Purchased,489,CCF,2/1/2020,2/29/2020,11/1/2019
37,Ronald E McNair Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1966,1969,42.36068424,-71.09324745,OWNED,89.7,413,102777.46,55591.97,32301.67,1741.83,15466.92,2691.41,0,0,20899.82,15092.92,31836.05,0,0,0,164.69,0,87893.64,14883.82,Water,Purchased,389,CCF,5/1/2019,5/31/2019,2/1/2019
37,Ronald E McNair Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1966,1969,42.36068424,-71.09324745,OWNED,89.7,413,102777.46,55591.97,32301.67,1741.83,15466.92,2691.41,0,0,20899.82,15092.92,31836.05,0,0,0,164.69,0,87893.64,14883.82,Water,Purchased,690,CCF,8/1/2019,8/31/2019,5/1/2019
37,Ronald E McNair Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1966,1969,42.36068424,-71.09324745,OWNED,89.7,413,102777.46,55591.97,32301.67,1741.83,15466.92,2691.41,0,0,20899.82,15092.92,31836.05,0,0,0,164.69,0,87893.64,14883.82,Water,Purchased,531,CCF,11/1/2019,11/30/2019,8/1/2019
37,Ronald E McNair Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1966,1969,42.36068424,-71.09324745,OWNED,89.7,413,102777.46,55591.97,32301.67,1741.83,15466.92,2691.41,0,0,20899.82,15092.92,31836.05,0,0,0,164.69,0,87893.64,14883.82,Water,Purchased,347,CCF,2/1/2020,2/29/2020,11/1/2019
38,Fairchild Buildings (38),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1971,1973,42.36107393,-71.0923498,OWNED,91.4,321,84000.79,56499.53,19288.99,57.45,7228.62,558.61,0,0,38823.35,12002.92,16513.28,0,0,0,604.29,0,75788.52,8212.27,Water,Purchased,318,CCF,5/1/2019,5/31/2019,2/1/2019
38,Fairchild Buildings (38),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1971,1973,42.36107393,-71.0923498,OWNED,91.4,321,84000.79,56499.53,19288.99,57.45,7228.62,558.61,0,0,38823.35,12002.92,16513.28,0,0,0,604.29,0,75788.52,8212.27,Water,Purchased,564,CCF,8/1/2019,8/31/2019,5/1/2019
38,Fairchild Buildings (38),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1971,1973,42.36107393,-71.0923498,OWNED,91.4,321,84000.79,56499.53,19288.99,57.45,7228.62,558.61,0,0,38823.35,12002.92,16513.28,0,0,0,604.29,0,75788.52,8212.27,Water,Purchased,434,CCF,11/1/2019,11/30/2019,8/1/2019
38,Fairchild Buildings (38),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1971,1973,42.36107393,-71.0923498,OWNED,91.4,321,84000.79,56499.53,19288.99,57.45,7228.62,558.61,0,0,38823.35,12002.92,16513.28,0,0,0,604.29,0,75788.52,8212.27,Water,Purchased,283,CCF,2/1/2020,2/29/2020,11/1/2019
39,Stanley Gordon Brown Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1966,1968,42.36085666,-71.09273098,OWNED,91.1,249,76639.87,39376.56,30723.19,674.07,13039.41,0,0,0,30639.96,17009.71,8736.6,0,0,0,0,0,70099.75,6540.12,Water,Purchased,290,CCF,5/1/2019,5/31/2019,2/1/2019
39,Stanley Gordon Brown Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1966,1968,42.36085666,-71.09273098,OWNED,91.1,249,76639.87,39376.56,30723.19,674.07,13039.41,0,0,0,30639.96,17009.71,8736.6,0,0,0,0,0,70099.75,6540.12,Water,Purchased,514,CCF,8/1/2019,8/31/2019,5/1/2019
39,Stanley Gordon Brown Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1966,1968,42.36085666,-71.09273098,OWNED,91.1,249,76639.87,39376.56,30723.19,674.07,13039.41,0,0,0,30639.96,17009.71,8736.6,0,0,0,0,0,70099.75,6540.12,Water,Purchased,396,CCF,11/1/2019,11/30/2019,8/1/2019
39,Stanley Gordon Brown Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1966,1968,42.36085666,-71.09273098,OWNED,91.1,249,76639.87,39376.56,30723.19,674.07,13039.41,0,0,0,30639.96,17009.71,8736.6,0,0,0,0,0,70099.75,6540.12,Water,Purchased,259,CCF,2/1/2020,2/29/2020,11/1/2019
44,Cyclotron,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1938,1939,42.36160679,-71.09247074,OWNED,29.5,51,16118.61,11649.47,2715.53,325.66,1010.49,0,0,0,7095.65,1379.38,4553.82,0,0,0,0,0,14365,1753.61,Water,Purchased,-21,CCF,5/1/2019,5/31/2019,2/1/2019
46,Brain & Cognitive Sciences Complex,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,2003,2005,42.36232777,-71.09164294,OWNED,136.4,1419,418299.52,220004.09,151401.78,7057.88,83107.28,2214.84,757.11,0,125104.03,61236.62,70017.65,322.23,14991.43,0,6061.11,535.69,371405.87,46893.65,Water,Purchased,3278,CCF,5/1/2019,5/31/2019,2/1/2019
46,Brain & Cognitive Sciences Complex,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,2003,2005,42.36232777,-71.09164294,OWNED,136.4,1419,418299.52,220004.09,151401.78,7057.88,83107.28,2214.84,757.11,0,125104.03,61236.62,70017.65,322.23,14991.43,0,6061.11,535.69,371405.87,46893.65,Water,Purchased,3964,CCF,8/1/2019,8/31/2019,5/1/2019
46,Brain & Cognitive Sciences Complex,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,2003,2005,42.36232777,-71.09164294,OWNED,136.4,1419,418299.52,220004.09,151401.78,7057.88,83107.28,2214.84,757.11,0,125104.03,61236.62,70017.65,322.23,14991.43,0,6061.11,535.69,371405.87,46893.65,Water,Purchased,2652,CCF,11/1/2019,11/30/2019,8/1/2019
46,Brain & Cognitive Sciences Complex,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,2003,2005,42.36232777,-71.09164294,OWNED,136.4,1419,418299.52,220004.09,151401.78,7057.88,83107.28,2214.84,757.11,0,125104.03,61236.62,70017.65,322.23,14991.43,0,6061.11,535.69,371405.87,46893.65,Water,Purchased,3446,CCF,2/1/2020,2/29/2020,11/1/2019
48,Ralph M Parsons Laboratory For Water Resources & Hydrodynamics,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1949,1951,42.36243249,-71.09066524,OWNED,64,156,57255.46,38949.64,11466.55,887.29,7675.46,2195.3,0,0,22902.59,2903.8,13054.04,0,0,0,797.71,0,50416.19,6839.27,Water,Purchased,325,CCF,5/1/2019,5/31/2019,2/1/2019
48,Ralph M Parsons Laboratory For Water Resources & Hydrodynamics,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1949,1951,42.36243249,-71.09066524,OWNED,64,156,57255.46,38949.64,11466.55,887.29,7675.46,2195.3,0,0,22902.59,2903.8,13054.04,0,0,0,797.71,0,50416.19,6839.27,Water,Purchased,421,CCF,8/1/2019,8/31/2019,5/1/2019
48,Ralph M Parsons Laboratory For Water Resources & Hydrodynamics,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1949,1951,42.36243249,-71.09066524,OWNED,64,156,57255.46,38949.64,11466.55,887.29,7675.46,2195.3,0,0,22902.59,2903.8,13054.04,0,0,0,797.71,0,50416.19,6839.27,Water,Purchased,350,CCF,11/1/2019,11/30/2019,8/1/2019
48,Ralph M Parsons Laboratory For Water Resources & Hydrodynamics,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1949,1951,42.36243249,-71.09066524,OWNED,64,156,57255.46,38949.64,11466.55,887.29,7675.46,2195.3,0,0,22902.59,2903.8,13054.04,0,0,0,797.71,0,50416.19,6839.27,Water,Purchased,346,CCF,2/1/2020,2/29/2020,11/1/2019
50,Walker Memorial,Non-CUP,Office & Mixed Use,SERVICE,STAC,MIT,MAIN GROUP,1916,1917,42.35936241,-71.0883196,OWNED,80.5,201,74063.57,46679.01,20815.11,1770.71,13777.62,0,27484.93,0,0,5266.78,11284.11,0,2941.06,0,4968.91,0,67494.12,6569.45,Water,Purchased,78,CCF,5/1/2019,5/31/2019,2/1/2019
50,Walker Memorial,Non-CUP,Office & Mixed Use,SERVICE,STAC,MIT,MAIN GROUP,1916,1917,42.35936241,-71.0883196,OWNED,80.5,201,74063.57,46679.01,20815.11,1770.71,13777.62,0,27484.93,0,0,5266.78,11284.11,0,2941.06,0,4968.91,0,67494.12,6569.45,Water,Purchased,267,CCF,8/1/2019,8/31/2019,5/1/2019
50,Walker Memorial,Non-CUP,Office & Mixed Use,SERVICE,STAC,MIT,MAIN GROUP,1916,1917,42.35936241,-71.0883196,OWNED,80.5,201,74063.57,46679.01,20815.11,1770.71,13777.62,0,27484.93,0,0,5266.78,11284.11,0,2941.06,0,4968.91,0,67494.12,6569.45,Water,Purchased,397,CCF,11/1/2019,11/30/2019,8/1/2019
50,Walker Memorial,Non-CUP,Office & Mixed Use,SERVICE,STAC,MIT,MAIN GROUP,1916,1917,42.35936241,-71.0883196,OWNED,80.5,201,74063.57,46679.01,20815.11,1770.71,13777.62,0,27484.93,0,0,5266.78,11284.11,0,2941.06,0,4968.91,0,67494.12,6569.45,Water,Purchased,393,CCF,2/1/2020,2/29/2020,11/1/2019
51,Walter C Wood Sailing Pavilion,Non-CUP,Special,SERVICE,STAC,MIT,MAIN GROUP,1936,1937,42.35851706,-71.08773035,OWNED,21.3,24,5889.33,4450.4,909.69,32.08,532.86,0,0,0,0,344.75,214.12,0,4236.28,0,0,0,5360.09,529.24,Water,Purchased,31,CCF,5/1/2019,5/31/2019,2/1/2019
51,Walter C Wood Sailing Pavilion,Non-CUP,Special,SERVICE,STAC,MIT,MAIN GROUP,1936,1937,42.35851706,-71.08773035,OWNED,21.3,24,5889.33,4450.4,909.69,32.08,532.86,0,0,0,0,344.75,214.12,0,4236.28,0,0,0,5360.09,529.24,Water,Purchased,239,CCF,8/1/2019,8/31/2019,5/1/2019
51,Walter C Wood Sailing Pavilion,Non-CUP,Special,SERVICE,STAC,MIT,MAIN GROUP,1936,1937,42.35851706,-71.08773035,OWNED,21.3,24,5889.33,4450.4,909.69,32.08,532.86,0,0,0,0,344.75,214.12,0,4236.28,0,0,0,5360.09,529.24,Water,Purchased,275,CCF,11/1/2019,11/30/2019,8/1/2019
51,Walter C Wood Sailing Pavilion,Non-CUP,Special,SERVICE,STAC,MIT,MAIN GROUP,1936,1937,42.35851706,-71.08773035,OWNED,21.3,24,5889.33,4450.4,909.69,32.08,532.86,0,0,0,0,344.75,214.12,0,4236.28,0,0,0,5360.09,529.24,Water,Purchased,116,CCF,2/1/2020,2/29/2020,11/1/2019
54,Cecil And Ida Green Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1962,1964,42.36032385,-71.08932613,OWNED,275,654,129448.04,68640,44148.72,1627.56,28140.77,7409.62,0,0,19195.05,14380.39,42014.91,0,0,0,20.42,0,112788.72,16659.32,Water,Purchased,490,CCF,5/1/2019,5/31/2019,2/1/2019
54,Cecil And Ida Green Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1962,1964,42.36032385,-71.08932613,OWNED,275,654,129448.04,68640,44148.72,1627.56,28140.77,7409.62,0,0,19195.05,14380.39,42014.91,0,0,0,20.42,0,112788.72,16659.32,Water,Purchased,868,CCF,8/1/2019,8/31/2019,5/1/2019
54,Cecil And Ida Green Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1962,1964,42.36032385,-71.08932613,OWNED,275,654,129448.04,68640,44148.72,1627.56,28140.77,7409.62,0,0,19195.05,14380.39,42014.91,0,0,0,20.42,0,112788.72,16659.32,Water,Purchased,669,CCF,11/1/2019,11/30/2019,8/1/2019
54,Cecil And Ida Green Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1962,1964,42.36032385,-71.08932613,OWNED,275,654,129448.04,68640,44148.72,1627.56,28140.77,7409.62,0,0,19195.05,14380.39,42014.91,0,0,0,20.42,0,112788.72,16659.32,Water,Purchased,437,CCF,2/1/2020,2/29/2020,11/1/2019
56,Uncas A Whitaker Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1963,1965,42.36069953,-71.0898625,OWNED,118.8,471,143940.24,78380.88,50573.95,641.74,23326.22,6874,395.71,0,46858.59,26605.99,19891.37,0,1345.39,0,3015.82,0,128954.83,14985.41,Water,Purchased,545,CCF,5/1/2019,5/31/2019,2/1/2019
56,Uncas A Whitaker Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1963,1965,42.36069953,-71.0898625,OWNED,118.8,471,143940.24,78380.88,50573.95,641.74,23326.22,6874,395.71,0,46858.59,26605.99,19891.37,0,1345.39,0,3015.82,0,128954.83,14985.41,Water,Purchased,965,CCF,8/1/2019,8/31/2019,5/1/2019
56,Uncas A Whitaker Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1963,1965,42.36069953,-71.0898625,OWNED,118.8,471,143940.24,78380.88,50573.95,641.74,23326.22,6874,395.71,0,46858.59,26605.99,19891.37,0,1345.39,0,3015.82,0,128954.83,14985.41,Water,Purchased,744,CCF,11/1/2019,11/30/2019,8/1/2019
56,Uncas A Whitaker Building,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1963,1965,42.36069953,-71.0898625,OWNED,118.8,471,143940.24,78380.88,50573.95,641.74,23326.22,6874,395.71,0,46858.59,26605.99,19891.37,0,1345.39,0,3015.82,0,128954.83,14985.41,Water,Purchased,486,CCF,2/1/2020,2/29/2020,11/1/2019
